drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00997,BE0004770,RALBP1,1,0,0
DB00997,BE0001069,ABCC2,1,0,0
DB00999,BE0001066,SLC22A6,1,0,1
DB00999,BE0003645,SLC22A8,1,0,0
DB00999,BE0000879,SLC22A11,1,0,0
DB00999,BE0001188,ABCC4,1,0,0
DB01000,BE0000106,SLC22A5,0,0,1
DB01000,BE0001018,SLC15A1,0,0,1
DB01000,BE0001134,SLC15A2,0,0,1
DB01004,BE0003648,SLC22A1,1,0,1
DB01004,BE0001066,SLC22A6,0,0,1
DB01004,BE0003645,SLC22A8,0,0,1
DB01004,BE0003646,SLC22A7,0,0,1
DB01004,BE0003657,SLC47A1,1,0,0
DB01004,BE0004752,SLC47A2,1,0,0
DB01009,BE0001188,ABCC4,0,0,1
DB01009,BE0003642,SLCO1A2,0,0,1
DB01009,BE0001066,SLC22A6,0,0,1
DB01009,BE0003645,SLC22A8,0,0,1
DB01009,BE0000879,SLC22A11,0,0,1
DB01009,BE0003646,SLC22A7,0,0,1
DB01011,BE0001061,ABCC3,0,1,0
DB01015,BE0000703,ABCB11,1,0,0
DB01016,BE0001061,ABCC3,0,0,1
DB01016,BE0000703,ABCB11,1,0,1
DB01016,BE0001032,ABCB1,0,0,1
DB01016,BE0000785,ABCC1,0,0,1
DB01016,BE0001018,SLC15A1,0,0,1
DB01016,BE0003642,SLCO1A2,0,0,1
DB01016,BE0001134,SLC15A2,0,0,1
DB01016,BE0001066,SLC22A6,0,0,1
DB01016,BE0001069,ABCC2,0,0,1
DB01016,BE0001067,ABCG2,1,0,0
DB01016,BE0003646,SLC22A7,0,0,1
DB01016,BE0001042,SLCO2B1,1,0,0
DB01017,BE0001066,SLC22A6,0,0,1
DB01017,BE0003645,SLC22A8,0,0,1
DB01017,BE0000879,SLC22A11,0,0,1
DB01017,BE0003646,SLC22A7,0,0,1
DB01023,BE0001032,ABCB1,0,0,1
DB01023,BE0000703,ABCB11,1,0,0
DB01026,BE0000703,ABCB11,0,0,1
DB01026,BE0001032,ABCB1,0,0,1
DB01026,BE0001004,SLCO1B1,0,0,1
DB01030,BE0001067,ABCG2,1,0,0
DB01030,BE0001032,ABCB1,1,0,0
DB01030,BE0003657,SLC47A1,1,0,1
DB01030,BE0004752,SLC47A2,1,0,0
DB01032,BE0003647,SLC22A2,0,0,1
DB01032,BE0003648,SLC22A1,0,0,1
DB01032,BE0001061,ABCC3,0,0,1
DB01032,BE0001188,ABCC4,0,0,1
DB01032,BE0003639,ABCC5,0,0,1
DB01032,BE0000440,SLC16A7,0,0,1
DB01032,BE0000106,SLC22A5,0,0,1
DB01032,BE0003640,ABCC6,0,0,1
DB01032,BE0000785,ABCC1,0,0,1
DB01032,BE0003642,SLCO1A2,0,0,1
DB01032,BE0000669,SLC16A1,0,0,1
DB01032,BE0003644,SLC10A1,0,0,1
DB01032,BE0001066,SLC22A6,1,0,1
DB01032,BE0003652,SLC22A10,0,0,1
DB01032,BE0003645,SLC22A8,0,0,1
DB01032,BE0001069,ABCC2,1,0,1
DB01032,BE0003658,ABCC11,0,0,1
DB01032,BE0000879,SLC22A11,0,0,1
DB01032,BE0003660,SLCO1C1,0,0,1
