UniProtId,Label,Gene_Name,hgnc_symbol
Q9BQ50,reviewed,TREX2_HUMAN,TREX2
Q12769,reviewed,NU160_HUMAN,NU160
Q5MJ07,reviewed,SPXN5_HUMAN,SPXN5
Q8N5Q1,reviewed,GAR5B_HUMAN,GAR5B
Q7KZ85,reviewed,SPT6H_HUMAN,SPT6H
Q13191,reviewed,CBLB_HUMAN,CBLB
P0CE67,reviewed,CC079_HUMAN,CC079
Q15054,reviewed,DPOD3_HUMAN,DPOD3
Q13098,reviewed,CSN1_HUMAN,CSN1
A0PJX8,reviewed,TMM82_HUMAN,TMM82
A4D2G3,reviewed,O2A25_HUMAN,O2A25
P35590,reviewed,TIE1_HUMAN,TIE1
Q8TBG4,reviewed,AT2L1_HUMAN,AT2L1
Q96D70,reviewed,R3HD4_HUMAN,R3HD4
Q5TC84,reviewed,OGRL1_HUMAN,OGRL1
Q9Y4D1,reviewed,DAAM1_HUMAN,DAAM1
Q53FP2,reviewed,NACHO_HUMAN,NACHO
O96001,reviewed,PPR17_HUMAN,PPR17
Q8WXF3,reviewed,REL3_HUMAN,REL3
P46782,reviewed,RS5_HUMAN,RS5
Q86VI4,reviewed,LAP4B_HUMAN,LAP4B
Q15057,reviewed,ACAP2_HUMAN,ACAP2
Q8NHA4,reviewed,O2AE1_HUMAN,O2AE1
Q8TF27,reviewed,AGA11_HUMAN,AGA11
Q96D71,reviewed,REPS1_HUMAN,REPS1
Q6NUJ2,reviewed,CK087_HUMAN,CK087
Q6R327,reviewed,RICTR_HUMAN,RICTR
Q9BQ52,reviewed,RNZ2_HUMAN,RNZ2
O96000,reviewed,NDUBA_HUMAN,NDUBA
Q8WVB6,reviewed,CTF18_HUMAN,CTF18
P46783,reviewed,RS10_HUMAN,RS10
Q9UH77,reviewed,KLHL3_HUMAN,KLHL3
Q15056,reviewed,IF4H_HUMAN,IF4H
Q7Z5A7,reviewed,TAFA5_HUMAN,TAFA5
Q9BTL4,reviewed,IER2_HUMAN,IER2
Q9Y543,reviewed,HES2_HUMAN,HES2
Q6NUJ1,reviewed,SAPL1_HUMAN,SAPL1
Q5TC82,reviewed,RC3H1_HUMAN,RC3H1
Q86Y13,reviewed,DZIP3_HUMAN,DZIP3
Q9Y4D7,reviewed,PLXD1_HUMAN,PLXD1
Q32P51,reviewed,RA1L2_HUMAN,RA1L2
Q8WXF1,reviewed,PSPC1_HUMAN,PSPC1
Q5T890,reviewed,ER6L2_HUMAN,ER6L2
O15204,reviewed,ADEC1_HUMAN,ADEC1
Q5VST9,reviewed,OBSCN_HUMAN,OBSCN
A8MXV4,reviewed,NUD19_HUMAN,NUD19
Q15051,reviewed,IQCB1_HUMAN,IQCB1
Q9UKU0,reviewed,ACSL6_HUMAN,ACSL6
Q9BTL3,reviewed,RAMAC_HUMAN,RAMAC
P13497,reviewed,BMP1_HUMAN,BMP1
Q6P9A1,reviewed,ZN530_HUMAN,ZN530
Q2TV78,reviewed,MST1L_HUMAN,MST1L
Q8IWK6,reviewed,AGRA3_HUMAN,AGRA3
Q8WXF0,reviewed,SRS12_HUMAN,SRS12
A8MYP8,reviewed,CMA1B_HUMAN,CMA1B
O15205,reviewed,UBD_HUMAN,UBD
P46781,reviewed,RS9_HUMAN,RS9
A8MV65,reviewed,VGLL3_HUMAN,VGLL3
Q15050,reviewed,RRS1_HUMAN,RRS1
P00156,reviewed,CYB_HUMAN,CYB
A0PJX4,reviewed,SHSA3_HUMAN,SHSA3
Q6P9A2,reviewed,GLT18_HUMAN,GLT18
Q1AE95,reviewed,T183B_HUMAN,T183B
Q86V71,reviewed,ZN429_HUMAN,ZN429
Q86UL8,reviewed,MAGI2_HUMAN,MAGI2
O96005,reviewed,CLPT1_HUMAN,CLPT1
Q14249,reviewed,NUCG_HUMAN,NUCG
P0C881,reviewed,R10B1_HUMAN,R10B1
Q8WVB3,reviewed,HEXD_HUMAN,HEXD
A8MXV6,reviewed,CD15L_HUMAN,CD15L
Q15053,reviewed,K0040_HUMAN,K0040
Q27J81,reviewed,INF2_HUMAN,INF2
Q7Z5A4,reviewed,PRS42_HUMAN,PRS42
Q8NHA8,reviewed,OR1FC_HUMAN,OR1FC
Q9H6D8,reviewed,FNDC4_HUMAN,FNDC4
P31270,reviewed,HXA11_HUMAN,HXA11
O15031,reviewed,PLXB2_HUMAN,PLXB2
Q6P9A3,reviewed,ZN549_HUMAN,ZN549
Q5TF58,reviewed,IFFO2_HUMAN,IFFO2
Q9UFD9,reviewed,RIM3A_HUMAN,RIM3A
Q8IVV7,reviewed,GID4_HUMAN,GID4
Q8NEK5,reviewed,ZN548_HUMAN,ZN548
